date,A2C,DDPG,PPO,TD3,SAC
2021-07-08,171069.65220582587,206808.500907013,149666.6197116166,172361.2640645066,210224.79402130138
2021-07-09,170947.7619622956,205522.71807009893,151010.51552460488,172238.4934346238,209772.78794830333
2021-07-12,175797.37768495185,206882.01012332158,151772.77461121377,177089.98830767066,210878.0947872926
2021-07-13,176619.59869325263,206913.4105063172,152490.60516999062,177923.80190630347,210842.63642852794
2021-07-14,176393.00463807685,209322.14469058232,152208.2657687455,177725.46657915504,212478.79750030529
2021-07-15,178226.1337426911,212849.06403262334,151907.85459778603,179620.4769551316,217263.01156585704
2021-07-16,181690.77319276435,210936.3664084168,152334.60318634805,183093.3392598191,212925.14509552013
2021-07-19,181210.64390504462,207265.57726199346,151567.25704071816,182603.43642778785,209763.5992276002
2021-07-20,183961.20640504462,203225.2189398499,150779.76483032998,185336.14040728004,204060.68063323986
2021-07-22,184868.34117066962,210172.5234900208,154093.05323670205,186293.92348833472,205428.04675262462
2021-07-23,185593.68511903388,208082.72170932012,153949.7151553422,186984.79104204566,206429.79112213146
2021-07-26,188918.06988465888,206344.7037344666,154082.26973603066,190296.4546162644,206231.82542388927
2021-07-27,188096.57690370185,206020.993926117,154199.6840426713,189487.63076372535,204927.72880523693
2021-07-28,189590.3996576081,207372.44068820195,154105.55992005166,190966.7357441941,205389.39688079845
2021-07-29,190836.82241761786,208189.8193960877,157636.36153290566,192218.28322954566,207745.57945220958
2021-07-30,188921.85757386786,214959.8930502625,155146.9358508378,190309.84756060035,208453.44430511486
2021-08-02,188733.00877503972,214744.9847688828,154991.8194905625,190119.6226093064,208245.03770971688
2021-08-03,193592.297183487,219287.36603664403,156213.12762701424,195115.71489944466,213687.95807790384
2021-08-04,191234.24338099678,218260.19130062108,156569.07101690682,192716.51418533333,212360.27846669778
2021-08-05,189239.4624972077,219099.34455226903,157114.00738775643,190401.7239326478,209830.58574819192
2021-08-06,186118.24338099678,223783.84549831395,155133.23945867928,187170.90998306283,211334.89917897806
2021-08-09,185312.76895472725,227225.26741909032,155601.81775915535,186365.54126205452,212117.9210219346
2021-08-10,184647.551089737,229821.9404232407,155259.72195684823,185818.10427322396,210446.49712514505
2021-08-11,184126.2359347077,230581.22798275,157238.69779455574,185317.52542343148,211047.05427693948
2021-08-12,184483.9195284577,236175.01712917333,157527.1597543946,185676.7622856141,210876.06022786722
2021-08-13,184509.703433487,234655.738000145,158949.7657953492,185621.21897354134,209969.71808766946
2021-08-16,181741.7749972077,232650.7098476792,161252.53035986336,182753.6608451844,208256.51498555765
