train/n_updates,train/value_loss,train/entropy_loss,train/explained_variance,time/iterations,train/policy_loss,time/fps,train/learning_rate,time/time_elapsed,train/std,time/total_timesteps,train/reward
1699,3.8138346672058105,-43.01090621948242,0.0,1700,-33.03092956542969,55,0.0007,153,1.0153056383132935,8500,1.3251541
1799,118.38798522949219,-42.97037124633789,0.0,1800,472.41265869140625,55,0.0007,162,1.0141829252243042,9000,3.139194
1899,111.61824035644531,-42.99618911743164,0.0,1900,-456.9595642089844,55,0.0007,171,1.01483952999115,9500,2.0654857
1999,15.147550582885742,-42.98210144042969,0.0,2000,107.5465316772461,55,0.0007,180,1.014404058456421,10000,1.1532799
2099,0.19525489211082458,-42.974090576171875,0.0,2100,-7.719308376312256,55,0.0007,189,1.013993740081787,10500,0.58953494
2199,13.756048202514648,-42.94942092895508,-0.004127860069274902,2200,126.2437515258789,55,0.0007,198,1.0132073163986206,11000,-0.34756705
2299,22.676288604736328,-42.99732208251953,1.1920928955078125e-07,2300,181.2388916015625,55,0.0007,207,1.014746069908142,11500,3.3412867
2399,0.8844515681266785,-43.008811950683594,0.0,2400,11.625650405883789,55,0.0007,216,1.015186071395874,12000,-4.3097863
2499,17.863651275634766,-42.96469497680664,0.0,2500,71.58189392089844,55,0.0007,225,1.0135188102722168,12500,-5.363316
2599,5.0407395362854,-43.0146484375,-0.002268195152282715,2600,-81.53712463378906,55,0.0007,234,1.0156210660934448,13000,1.5864182
2699,3.5490570068359375,-43.061466217041016,0.0,2700,76.39811706542969,55,0.0007,243,1.017133355140686,13500,0.024669766
2799,27.38797950744629,-43.147796630859375,0.0,2800,203.6561279296875,55,0.0007,252,1.0201818943023682,14000,-3.4160612
2899,26.21964454650879,-43.187591552734375,0.0,2900,179.12313842773438,55,0.0007,261,1.0213994979858398,14500,0.12898622
2999,5.1216888427734375,-43.2342529296875,0.0,3000,27.707433700561523,55,0.0007,270,1.0229393243789673,15000,0.64695805
3099,68.40396881103516,-43.18690872192383,-1.1920928955078125e-07,3100,300.63568115234375,55,0.0007,279,1.0214449167251587,15500,-0.90637934
3199,0.41340142488479614,-43.20454788208008,5.960464477539063e-08,3200,-5.509551525115967,55,0.0007,288,1.0224064588546753,16000,0.25541192
3299,50.26105880737305,-43.20151138305664,0.0,3300,303.44781494140625,55,0.0007,297,1.0220390558242798,16500,-0.75915635
3399,28.355993270874023,-43.1569938659668,0.0,3400,-166.62705993652344,55,0.0007,306,1.0204885005950928,17000,1.1833186
3499,35.77123260498047,-43.15740203857422,0.0,3500,238.8057403564453,55,0.0007,315,1.0204684734344482,17500,5.1817985
3599,10.313102722167969,-43.216548919677734,-1.1920928955078125e-07,3600,68.61088562011719,55,0.0007,324,1.0224120616912842,18000,0.11895505
3699,28.412281036376953,-43.2769775390625,0.0,3700,-234.198974609375,55,0.0007,333,1.0243843793869019,18500,-0.6198487
3799,14.8430757522583,-43.22690200805664,0.0,3800,-157.06642150878906,55,0.0007,342,1.0227341651916504,19000,2.8179057
3899,33.432735443115234,-43.22726058959961,0.0,3900,50.10118103027344,55,0.0007,351,1.022833228111267,19500,3.8212526
3999,13.562466621398926,-43.213741302490234,2.384185791015625e-07,4000,140.99288940429688,55,0.0007,360,1.0223807096481323,20000,9.746553
4099,4.463498592376709,-43.184993743896484,-1.1920928955078125e-07,4100,20.68180274963379,55,0.0007,369,1.0213409662246704,20500,-1.5339803
4199,2.0304501056671143,-43.21104049682617,0.0,4200,56.377891540527344,55,0.0007,378,1.0224359035491943,21000,2.1064065
4299,7.500090599060059,-43.31390380859375,0.0,4300,-101.1922607421875,55,0.0007,387,1.026013731956482,21500,-0.84109324
4399,64.06587219238281,-43.300575256347656,0.0,4400,324.0390319824219,55,0.0007,396,1.025417685508728,22000,-0.7429404
4499,164.83717346191406,-43.357177734375,-2.384185791015625e-07,4500,533.09228515625,55,0.0007,405,1.0274723768234253,22500,-1.9695709
4599,13.061027526855469,-43.28997039794922,0.0,4600,-83.49287414550781,55,0.0007,414,1.0252625942230225,23000,3.457529
4699,2.989858865737915,-43.314659118652344,0.0,4700,-68.52659606933594,55,0.0007,423,1.026082158088684,23500,-2.5120242
4799,0.7565495371818542,-43.3447265625,0.0,4800,-29.8532772064209,55,0.0007,432,1.0266902446746826,24000,0.63604474
