time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/reward,train/entropy_loss,train/loss,train/clip_fraction,train/std,train/clip_range,train/policy_gradient_loss,train/n_updates,train/value_loss,train/explained_variance,train/learning_rate,train/approx_kl
96,380,36864,18,-0.424583,-43.71190941333771,13.130403518676758,0.2314453125,1.0391745567321777,0.2,-0.011331608178443276,170,74.29657493829727,0.2218707799911499,0.00025,0.020947075
96,401,38912,19,0.033359185,-43.75258569717407,25.05716323852539,0.260791015625,1.0417886972427368,0.2,-0.01678017358208308,180,114.80701072216034,0.17401981353759766,0.00025,0.020668086
96,422,40960,20,1.5187614,-43.80359842777252,156.87066650390625,0.170556640625,1.0429068803787231,0.2,-0.012825080488983075,190,568.5628664970397,0.08740264177322388,0.00025,0.015869807
96,443,43008,21,-2.9605656,-43.85251870155334,29.31182098388672,0.28935546875,1.0454729795455933,0.2,-0.01147492573945783,200,170.50278849601744,0.10354948043823242,0.00025,0.028655048
97,464,45056,22,-0.9957301,-43.941003465652464,75.8714599609375,0.2212890625,1.048627495765686,0.2,-0.009382245774031617,210,125.8498242855072,0.20923584699630737,0.00025,0.027514838
97,485,47104,23,-3.1509938,-44.03690032958984,70.3271255493164,0.207470703125,1.0520803928375244,0.2,-0.01471440975292353,220,208.02597646713258,0.1691141128540039,0.00025,0.01757014
97,506,49152,24,-0.061551515,-44.13988745212555,72.187744140625,0.251123046875,1.0554085969924927,0.2,-0.014363995392341167,230,265.8121604681015,0.18259823322296143,0.00025,0.017601084
96,527,51200,25,1.7874303,-44.198905205726625,202.9857177734375,0.20654296875,1.0567806959152222,0.2,-0.011446639546193182,240,957.95751953125,0.034344255924224854,0.00025,0.016975727
96,549,53248,26,5.1823115,-44.24574799537659,362.0874328613281,0.248291015625,1.0589711666107178,0.2,-0.008084770481218584,250,151.36648557186126,0.07894611358642578,0.00025,0.025144424
96,570,55296,27,1.4977766,-44.31203982830048,57.27427673339844,0.2287109375,1.0616028308868408,0.2,-0.009652650830685162,260,219.16578989028932,0.1504971981048584,0.00025,0.019621823
96,592,57344,28,0.008677103,-44.3662868976593,458.0916442871094,0.075634765625,1.0625865459442139,0.2,-0.009701422514626756,270,4196.602502822876,0.02788722515106201,0.00025,0.010966241
96,612,59392,29,63.980614,-44.38352200984955,3253.072021484375,0.05048828125,1.0628154277801514,0.2,-0.00909836304927012,280,8506.341702270507,0.01179802417755127,0.00025,0.008968162
96,633,61440,30,-33.163105,-44.40349419116974,1611.9813232421875,0.159375,1.0645747184753418,0.2,-0.008307725422491785,290,2393.104204940796,0.002495884895324707,0.00025,0.019533072
96,654,63488,31,1.6961972,-44.44073352813721,389.6878967285156,0.098779296875,1.064784049987793,0.2,-0.00969132081081625,300,1345.4665699005127,0.044380903244018555,0.00025,0.010356357
96,676,65536,32,-0.68038285,-44.448597407341005,3430.446044921875,0.090087890625,1.065344214439392,0.2,-0.00969595690839924,310,13516.486164093018,0.004455089569091797,0.00025,0.011339005
96,697,67584,33,0.002246885,-44.46563463211059,4329.287109375,0.14423828125,1.0658656358718872,0.2,-0.014927407520008273,320,3071.872709274292,0.023730337619781494,0.00025,0.013459545
96,719,69632,34,8.783529,-44.481517744064334,4470.5400390625,0.0607421875,1.0666028261184692,0.2,-0.009534353055641986,330,11414.640756988525,0.014899969100952148,0.00025,0.009769364
96,740,71680,35,9.455886,-44.50475678443909,1983.4481201171875,0.227587890625,1.0673662424087524,0.2,-0.0028347649466013538,340,893.1558090209961,0.03169327974319458,0.00025,0.016023945
96,761,73728,36,8.4830065,-44.529184913635255,97.21626281738281,0.20380859375,1.068469524383545,0.2,-0.01097845983458683,350,939.4200662612915,0.0021276473999023438,0.00025,0.020566382
96,783,75776,37,0.75767094,-44.565400910377505,716.3370971679688,0.187060546875,1.0703424215316772,0.2,-0.010731889921589754,360,661.9068674087524,0.016315937042236328,0.00025,0.022856992
96,804,77824,38,-3.1039412,-44.6116105556488,2138.6904296875,0.17490234375,1.0713005065917969,0.2,-0.013630780720268377,370,1040.3825660705565,0.04424172639846802,0.00025,0.014955524
96,826,79872,39,-1.1225958,-44.654944896698,137.39373779296875,0.305859375,1.0734620094299316,0.2,-0.006833522366650868,380,285.0368258476257,0.06273013353347778,0.00025,0.018417671
96,847,81920,40,0.102188066,-44.74746136665344,12.553565979003906,0.2712890625,1.078241229057312,0.2,-0.0014122009830316528,390,56.473464775085446,0.1262410283088684,0.00025,0.021088347
96,869,83968,41,0.8827302,-44.87182495594025,55.72813415527344,0.298828125,1.0825138092041016,0.2,-0.0057975547504611315,400,35.462007427215575,0.173017680644989,0.00025,0.023542933
96,892,86016,42,-0.6675529,-44.98208434581757,18.823396682739258,0.2146484375,1.0848742723464966,0.2,-0.010950236224744003,410,55.2218080163002,0.2035771608352661,0.00025,0.01777952
96,916,88064,43,2.0703394,-45.015172362327576,107.36395263671875,0.155712890625,1.0869886875152588,0.2,-0.014106707094470039,420,351.8570273399353,0.044616758823394775,0.00025,0.015703835
95,943,90112,44,-20.330748,-45.07493629455566,53.44184112548828,0.247021484375,1.0878126621246338,0.2,-0.010262770220288075,430,131.99757096767425,0.15119558572769165,0.00025,0.0248465
94,970,92160,45,3.0446172,-45.08542926311493,610.5421142578125,0.090283203125,1.0882244110107422,0.2,-0.004238876080489717,440,3261.322579574585,0.018427789211273193,0.00025,0.008362107
94,997,94208,46,0.08670508,-45.09549787044525,2343.733154296875,0.009033203125,1.0886398553848267,0.2,-0.005996668871375732,450,10366.61280670166,0.01335299015045166,0.00025,0.00456327
93,1025,96256,47,1.6272429,-45.10485978126526,931.1370849609375,0.07685546875,1.0890145301818848,0.2,-0.010592106387775857,460,2590.8052360534666,0.0470813512802124,0.00025,0.012176418
93,1052,98304,48,0.12978487,-45.113223028182986,3379.478271484375,0.09228515625,1.0893293619155884,0.2,-0.011301993874076289,470,2180.3496170043945,0.039937734603881836,0.00025,0.010628522
92,1080,100352,49,-1.1436437,-45.12860679626465,2035.9520263671875,0.0955078125,1.0898951292037964,0.2,-0.012341258428932633,480,10350.14232788086,0.008652150630950928,0.00025,0.011880076
92,1109,102400,50,-1.4845666,-45.149875497817995,301.0212097167969,0.14697265625,1.0910727977752686,0.2,-0.014800874717184342,490,1352.509160232544,0.12089860439300537,0.00025,0.013677685
91,1136,104448,51,1.2779398,-45.17940781116486,1880.56494140625,0.115478515625,1.0919567346572876,0.2,-0.014228747064771596,500,5414.06194896698,0.025594234466552734,0.00025,0.014884111
91,1163,106496,52,1.7137463,-45.20692164897919,773.14111328125,0.16640625,1.0934128761291504,0.2,-0.010320689290529117,510,3336.849465370178,0.04184013605117798,0.00025,0.018967737
91,1191,108544,53,-18.559805,-45.23122222423554,5067.41162109375,0.10947265625,1.0936912298202515,0.2,-0.010526904163998551,520,7109.756755065918,0.025286436080932617,0.00025,0.010445684
90,1218,110592,54,7.440749,-45.25590190887451,713.5296630859375,0.15986328125,1.0950971841812134,0.2,-0.012991360455635004,530,2538.8042179107665,0.02143871784210205,0.00025,0.015584242
90,1245,112640,55,18.989462,-45.28817028999329,589.7040405273438,0.16865234375,1.0956884622573853,0.2,-0.013489562043105252,540,3375.670483016968,0.0728873610496521,0.00025,0.016116675
90,1272,114688,56,-1.4763755,-45.30095722675323,3734.76025390625,0.08056640625,1.0961837768554688,0.2,-0.0084855878027156,550,15748.914613342286,0.015071392059326172,0.00025,0.011125971
89,1299,116736,57,2.3607123,-45.32795011997223,2378.591064453125,0.12880859375,1.0974191427230835,0.2,-0.010202862244477728,560,23549.272950744627,0.012993991374969482,0.00025,0.011986498
